,id,name,gender,dates,yearOfBirth,yearOfDeath,placeOfBirth,placeOfDeath,url
584,94,"Chéron, Louis",Male,1660–1725,1660.0,1725.0,,,http://www.tate.org.uk/art/artists/louis-cheron-94
585,897,"Cheston, Charles",Male,1882–1960,1882.0,1960.0,"London, United Kingdom",,http://www.tate.org.uk/art/artists/charles-cheston-897
586,898,"Cheston, Evelyn",Female,1875–1929,1875.0,1929.0,"Yorkshire, United Kingdom","Devon, United Kingdom",http://www.tate.org.uk/art/artists/evelyn-cheston-898
587,12108,"Chetwynd, Spartacus",Female,born 1973,1973.0,,"Great Britain, United Kingdom",,http://www.tate.org.uk/art/artists/spartacus-chetwynd-12108
588,899,"Chia, Sandro",Male,born 1946,1946.0,,"Firenze, Italia",,http://www.tate.org.uk/art/artists/sandro-chia-899
589,900,"Chighine, Alfredo",Male,1914–1974,1914.0,1974.0,"Milano, Italia",,http://www.tate.org.uk/art/artists/alfredo-chighine-900
590,901,"Chillida, Eduardo",Male,1924–2002,1924.0,2002.0,"San Sebastián, España",,http://www.tate.org.uk/art/artists/eduardo-chillida-901
591,2743,Chinese School 18th century,,1700–1799,1700.0,1799.0,,,http://www.tate.org.uk/art/artists/chinese-school-18th-century-2743
592,92,"Chinnery, George",Male,1774–1852,1774.0,1852.0,"London, United Kingdom",Macau,http://www.tate.org.uk/art/artists/george-chinnery-92
593,3151,"Chodzko, Adam",Male,born 1965,1965.0,,"London, United Kingdom",,http://www.tate.org.uk/art/artists/adam-chodzko-3151
594,14735,"Choucair, Saloua Raouda",Female,born 1916,1916.0,,"Bayrut, Al-Lubnan",,http://www.tate.org.uk/art/artists/saloua-raouda-choucair-14735
595,903,"Chowne, Gerard",Male,1875–1917,1875.0,1917.0,Bharat,Makedonija,http://www.tate.org.uk/art/artists/gerard-chowne-903
596,904,"Christie, John",Male,born 1945,1945.0,,,,http://www.tate.org.uk/art/artists/john-christie-904
